,ds,trend,trend_lower,trend_upper,yhat_lower,yhat_upper,seasonal,seasonal_lower,seasonal_upper,seasonalities,seasonalities_lower,seasonalities_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,yhat,dam,spp
0,2010-01-01,5.118202413550339,5.118202413550339,5.118202413550339,-0.8852888582467228,1.861111325235201,-4.676338275166715,-4.676338275166715,-4.676338275166715,-4.676338275166715,-4.676338275166715,-4.676338275166715,0.03088072813698299,0.03088072813698299,0.03088072813698299,-4.707219003303698,-4.707219003303698,-4.707219003303698,0.44186413838362437,BON,chinook_adult
1,2010-01-02,5.1169468761158505,5.1169468761158505,5.1169468761158505,-0.9890950542818944,1.7946433362937562,-4.745007925703857,-4.745007925703857,-4.745007925703857,-4.745007925703857,-4.745007925703857,-4.745007925703857,-0.029665344578847952,-0.029665344578847952,-0.029665344578847952,-4.71534258112501,-4.71534258112501,-4.71534258112501,0.37193895041199365,BON,chinook_adult
2,2010-01-03,5.115691338681362,5.115691338681362,5.115691338681362,-0.9792244291948706,1.7232233887938804,-4.728959059277532,-4.728959059277532,-4.728959059277532,-4.728959059277532,-4.728959059277532,-4.728959059277532,-0.005949091582248875,-0.005949091582248875,-0.005949091582248875,-4.723009967695282,-4.723009967695282,-4.723009967695282,0.38673227940383015,BON,chinook_adult
3,2010-01-04,5.114435801246874,5.114435801246874,5.114435801246874,-0.9572936897883361,1.6971922343708534,-4.736778272424913,-4.736778272424913,-4.736778272424913,-4.736778272424913,-4.736778272424913,-4.736778272424913,-0.0065724699220278985,-0.0065724699220278985,-0.0065724699220278985,-4.730205802502884,-4.730205802502884,-4.730205802502884,0.3776575288219606,BON,chinook_adult
4,2010-01-05,5.113180263812385,5.113180263812385,5.113180263812385,-0.9682569438634295,1.688404246465969,-4.77596407187152,-4.77596407187152,-4.77596407187152,-4.77596407187152,-4.77596407187152,-4.77596407187152,-0.03906411572948258,-0.03906411572948258,-0.03906411572948258,-4.736899956142039,-4.736899956142039,-4.736899956142039,0.3372161919408647,BON,chinook_adult
5,2010-01-06,5.111924726377897,5.111924726377897,5.111924726377897,-0.9813278362923005,1.649166044958279,-4.728885530914142,-4.728885530914142,-4.728885530914142,-4.728885530914142,-4.728885530914142,-4.728885530914142,0.014166124245550695,0.014166124245550695,0.014166124245550695,-4.743051655159693,-4.743051655159693,-4.743051655159693,0.38303919546375464,BON,chinook_adult
6,2010-01-07,5.110669188943408,5.110669188943408,5.110669188943408,-0.9196847696227379,1.7420481263537184,-4.712409538564612,-4.712409538564612,-4.712409538564612,-4.712409538564612,-4.712409538564612,-4.712409538564612,0.03620416943020542,0.03620416943020542,0.03620416943020542,-4.748613707994817,-4.748613707994817,-4.748613707994817,0.3982596503787965,BON,chinook_adult
7,2010-01-08,5.10941365150892,5.10941365150892,5.10941365150892,-1.0498891472743812,1.6996218857136576,-4.722655980851868,-4.722655980851868,-4.722655980851868,-4.722655980851868,-4.722655980851868,-4.722655980851868,0.03088072813693278,0.03088072813693278,0.03088072813693278,-4.7535367089888,-4.7535367089888,-4.7535367089888,0.3867576706570519,BON,chinook_adult
8,2010-01-09,5.108158114074431,5.108158114074431,5.108158114074431,-1.0362459704425722,1.6129712588395035,-4.787438444739502,-4.787438444739502,-4.787438444739502,-4.787438444739502,-4.787438444739502,-4.787438444739502,-0.029665344578840167,-0.029665344578840167,-0.029665344578840167,-4.757773100160662,-4.757773100160662,-4.757773100160662,0.32071966933492924,BON,chinook_adult
9,2010-01-10,5.106902576639943,5.106902576639943,5.106902576639943,-0.9929494970325634,1.76544851982471,-4.767230067812766,-4.767230067812766,-4.767230067812766,-4.767230067812766,-4.767230067812766,-4.767230067812766,-0.005949091582343985,-0.005949091582343985,-0.005949091582343985,-4.761280976230422,-4.761280976230422,-4.761280976230422,0.33967250882717703,BON,chinook_adult
