,ds,trend,trend_lower,trend_upper,yhat_lower,yhat_upper,seasonal,seasonal_lower,seasonal_upper,seasonalities,seasonalities_lower,seasonalities_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,yhat,dam,spp
0,2010-04-01,4.78901821172429,4.78901821172429,4.78901821172429,0.3479953776695453,3.21995573242785,-2.9698462710263085,-2.9698462710263085,-2.9698462710263085,-2.9698462710263085,-2.9698462710263085,-2.9698462710263085,-0.04591770252211447,-0.04591770252211447,-0.04591770252211447,-2.9239285685041936,-2.9239285685041936,-2.9239285685041936,1.8191719406979816,JDA,chinook_adult
1,2010-04-02,4.784458497382331,4.784458497382331,4.784458497382331,0.4818974268390335,3.5473290895624903,-2.7838465184585104,-2.7838465184585104,-2.7838465184585104,-2.7838465184585104,-2.7838465184585104,-2.7838465184585104,-0.014689961801521831,-0.014689961801521831,-0.014689961801521831,-2.7691565566569887,-2.7691565566569887,-2.7691565566569887,2.0006119789238204,JDA,chinook_adult
2,2010-04-03,4.779898783040371,4.779898783040371,4.779898783040371,0.7903498695551402,3.7573790127010462,-2.5822624993057866,-2.5822624993057866,-2.5822624993057866,-2.5822624993057866,-2.5822624993057866,-2.5822624993057866,0.02019891825632778,0.02019891825632778,0.02019891825632778,-2.602461417562114,-2.602461417562114,-2.602461417562114,2.197636283734585,JDA,chinook_adult
3,2010-04-04,4.775339068698412,4.775339068698412,4.775339068698412,0.955693364019012,3.9095425234976235,-2.3620770500777115,-2.3620770500777115,-2.3620770500777115,-2.3620770500777115,-2.3620770500777115,-2.3620770500777115,0.062000216093209236,0.062000216093209236,0.062000216093209236,-2.4240772661709205,-2.4240772661709205,-2.4240772661709205,2.4132620186207006,JDA,chinook_adult
4,2010-04-05,4.770779354356453,4.770779354356453,4.770779354356453,1.1432850495978801,4.114361407844982,-2.179147078036418,-2.179147078036418,-2.179147078036418,-2.179147078036418,-2.179147078036418,-2.179147078036418,0.05523343212259867,0.05523343212259867,0.05523343212259867,-2.2343805101590166,-2.2343805101590166,-2.2343805101590166,2.5916322763200346,JDA,chinook_adult
5,2010-04-06,4.766219640014493,4.766219640014493,4.766219640014493,1.175139470662468,4.210055238394671,-2.06000335433428,-2.06000335433428,-2.06000335433428,-2.06000335433428,-2.06000335433428,-2.06000335433428,-0.026113289153503434,-0.026113289153503434,-0.026113289153503434,-2.033890065180777,-2.033890065180777,-2.033890065180777,2.706216285680213,JDA,chinook_adult
6,2010-04-07,4.761659925672534,4.761659925672534,4.761659925672534,1.5009395502113667,4.560823409808049,-1.8739765436100002,-1.8739765436100002,-1.8739765436100002,-1.8739765436100002,-1.8739765436100002,-1.8739765436100002,-0.050711612994986804,-0.050711612994986804,-0.050711612994986804,-1.8232649306150135,-1.8232649306150135,-1.8232649306150135,2.8876833820625336,JDA,chinook_adult
7,2010-04-08,4.757100211330575,4.757100211330575,4.757100211330575,1.5775431674306173,4.524206341056761,-1.6492168494684865,-1.6492168494684865,-1.6492168494684865,-1.6492168494684865,-1.6492168494684865,-1.6492168494684865,-0.04591770252213953,-0.04591770252213953,-0.04591770252213953,-1.6032991469463471,-1.6032991469463471,-1.6032991469463471,3.107883361862088,JDA,chinook_adult
8,2010-04-09,4.7525404969886145,4.7525404969886145,4.7525404969886145,1.7027176887454156,4.917684404486326,-1.3896041799985435,-1.3896041799985435,-1.3896041799985435,-1.3896041799985435,-1.3896041799985435,-1.3896041799985435,-0.014689961801512212,-0.014689961801512212,-0.014689961801512212,-1.374914218197031,-1.374914218197031,-1.374914218197031,3.362936316990071,JDA,chinook_adult
9,2010-04-10,4.747980782646655,4.747980782646655,4.747980782646655,2.180796092550441,5.17881097658155,-1.1189502241741969,-1.1189502241741969,-1.1189502241741969,-1.1189502241741969,-1.1189502241741969,-1.1189502241741969,0.02019891825632907,0.02019891825632907,0.02019891825632907,-1.139149142430526,-1.139149142430526,-1.139149142430526,3.6290305584724583,JDA,chinook_adult
10,2010-04-11,4.743421068304697,4.743421068304697,4.743421068304697,2.433889600248865,5.3844940547937,-0.8351480326936572,-0.8351480326936572,-0.8351480326936572,-0.8351480326936572,-0.8351480326936572,-0.8351480326936572,0.062000216093178434,0.062000216093178434,0.062000216093178434,-0.8971482487868355,-0.8971482487868355,-0.8971482487868355,3.9082730356110393,JDA,chinook_adult
11,2010-04-12,4.7388613539627364,4.7388613539627364,4.7388613539627364,2.5001554691984706,5.6948011090105,-0.5949136571086819,-0.5949136571086819,-0.5949136571086819,-0.5949136571086819,-0.5949136571086819,-0.5949136571086819,0.05523343212253722,0.05523343212253722,0.05523343212253722,-0.6501470892312191,-0.6501470892312191,-0.6501470892312191,4.143947696854054,JDA,chinook_adult
12,2010-04-13,4.734301639620777,4.734301639620777,4.734301639620777,2.7206607658152784,5.801132875049276,-0.42556996512099343,-0.42556996512099343,-0.42556996512099343,-0.42556996512099343,-0.42556996512099343,-0.42556996512099343,-0.026113289153428077,-0.026113289153428077,-0.026113289153428077,-0.3994566759675653,-0.3994566759675653,-0.3994566759675653,4.308731674499784,JDA,chinook_adult
13,2010-04-14,4.729741925278818,4.729741925278818,4.729741925278818,2.9852972059415595,6.0673071837276735,-0.1971580031984296,-0.1971580031984296,-0.1971580031984296,-0.1971580031984296,-0.1971580031984296,-0.1971580031984296,-0.05071161299498458,-0.05071161299498458,-0.05071161299498458,-0.14644639020344502,-0.14644639020344502,-0.14644639020344502,4.532583922080388,JDA,chinook_adult
14,2010-04-15,4.725182210936858,4.725182210936858,4.725182210936858,3.2121633687369675,6.247480741337455,0.06155638364830749,0.06155638364830749,0.06155638364830749,0.06155638364830749,0.06155638364830749,0.06155638364830749,-0.04591770252214391,-0.04591770252214391,-0.04591770252214391,0.1074740861704514,0.1074740861704514,0.1074740861704514,4.786738594585166,JDA,chinook_adult
15,2010-04-16,4.720622496594899,4.720622496594899,4.720622496594899,3.5148661850586222,6.622897710252976,0.3461834861419254,0.3461834861419254,0.3461834861419254,0.3461834861419254,0.3461834861419254,0.3461834861419254,-0.014689961801502593,-0.014689961801502593,-0.014689961801502593,0.3608734479434279,0.3608734479434279,0.3608734479434279,5.066805982736825,JDA,chinook_adult
16,2010-04-17,4.71606278225294,4.71606278225294,4.71606278225294,3.863256851767577,6.894805942290845,0.632516596374897,0.632516596374897,0.632516596374897,0.632516596374897,0.632516596374897,0.632516596374897,0.020198918256330366,0.020198918256330366,0.020198918256330366,0.6123176781185667,0.6123176781185667,0.6123176781185667,5.348579378627837,JDA,chinook_adult
17,2010-04-18,4.71150306791098,4.71150306791098,4.71150306791098,4.173518556715172,7.235283042262926,0.9223890376620973,0.9223890376620973,0.9223890376620973,0.9223890376620973,0.9223890376620973,0.9223890376620973,0.0620002160931247,0.0620002160931247,0.0620002160931247,0.8603888215689727,0.8603888215689727,0.8603888215689727,5.633892105573078,JDA,chinook_adult
18,2010-04-19,4.706943353569021,4.706943353569021,4.706943353569021,4.409779043771292,7.452543903517777,1.158936693067203,1.158936693067203,1.158936693067203,1.158936693067203,1.158936693067203,1.158936693067203,0.055233432122613994,0.055233432122613994,0.055233432122613994,1.103703260944589,1.103703260944589,1.103703260944589,5.865880046636224,JDA,chinook_adult
19,2010-04-20,4.702383639227062,4.702383639227062,4.702383639227062,4.514170408175847,7.367179351340552,1.314815866712483,1.314815866712483,1.314815866712483,1.314815866712483,1.314815866712483,1.314815866712483,-0.026113289153470387,-0.026113289153470387,-0.026113289153470387,1.340929155865953,1.340929155865953,1.340929155865953,6.017199505939544,JDA,chinook_adult
20,2010-04-21,4.697823924885102,4.697823924885102,4.697823924885102,4.775419072269523,7.837037163810961,1.520091122379789,1.520091122379789,1.520091122379789,1.520091122379789,1.520091122379789,1.520091122379789,-0.05071161299497875,-0.05071161299497875,-0.05071161299497875,1.5708027353747678,1.5708027353747678,1.5708027353747678,6.217915047264891,JDA,chinook_adult
21,2010-04-22,4.693264210543143,4.693264210543143,4.693264210543143,4.89124562095664,7.9313870828660225,1.7462254668990873,1.7462254668990873,1.7462254668990873,1.7462254668990873,1.7462254668990873,1.7462254668990873,-0.04591770252209016,-0.04591770252209016,-0.04591770252209016,1.7921431694211774,1.7921431694211774,1.7921431694211774,6.43948967744223,JDA,chinook_adult
22,2010-04-23,4.688704496201184,4.688704496201184,4.688704496201184,5.15192134535941,8.20339081148099,1.989175824940413,1.989175824940413,1.989175824940413,1.989175824940413,1.989175824940413,1.989175824940413,-0.014689961801451667,-0.014689961801451667,-0.014689961801451667,2.003865786741865,2.003865786741865,2.003865786741865,6.677880321141597,JDA,chinook_adult
23,2010-04-24,4.684144781859224,4.684144781859224,4.684144781859224,5.44687062101337,8.475247743179574,2.22519237068022,2.22519237068022,2.22519237068022,2.22519237068022,2.22519237068022,2.22519237068022,0.02019891825632234,0.02019891825632234,0.02019891825632234,2.204993452423898,2.204993452423898,2.204993452423898,6.909337152539445,JDA,chinook_adult
24,2010-04-25,4.679585067517264,4.679585067517264,4.679585067517264,5.511869117793358,8.737205009308607,2.4566661834325405,2.4566661834325405,2.4566661834325405,2.4566661834325405,2.4566661834325405,2.4566661834325405,0.062000216093134344,0.062000216093134344,0.062000216093134344,2.3946659673394066,2.3946659673394066,2.3946659673394066,7.136251250949805,JDA,chinook_adult
25,2010-04-26,4.675025353175306,4.675025353175306,4.675025353175306,5.675786120476326,8.69581590711561,2.6273808340798497,2.6273808340798497,2.6273808340798497,2.6273808340798497,2.6273808340798497,2.6273808340798497,0.055233432122580035,0.055233432122580035,0.055233432122580035,2.5721474019572703,2.5721474019572703,2.5721474019572703,7.302406187255155,JDA,chinook_adult
26,2010-04-27,4.670465638833346,4.670465638833346,4.670465638833346,5.819843391071355,8.939182651639964,2.7107180381844445,2.7107180381844445,2.7107180381844445,2.7107180381844445,2.7107180381844445,2.7107180381844445,-0.02611328915352183,-0.02611328915352183,-0.02611328915352183,2.736831327337966,2.736831327337966,2.736831327337966,7.381183677017791,JDA,chinook_adult
27,2010-04-28,4.665905924491386,4.665905924491386,4.665905924491386,6.092097608259174,8.999571533353345,2.8375323419002023,2.8375323419002023,2.8375323419002023,2.8375323419002023,2.8375323419002023,2.8375323419002023,-0.05071161299498758,-0.05071161299498758,-0.05071161299498758,2.8882439548951897,2.8882439548951897,2.8882439548951897,7.503438266391589,JDA,chinook_adult
28,2010-04-29,4.661346210149427,4.661346210149427,4.661346210149427,6.1139723928635465,9.205023130501258,2.980127539950822,2.980127539950822,2.980127539950822,2.980127539950822,2.980127539950822,2.980127539950822,-0.04591770252214429,-0.04591770252214429,-0.04591770252214429,3.0260452424729665,3.0260452424729665,3.0260452424729665,7.641473750100248,JDA,chinook_adult
